User_input,Current_window_info,System_prompt,LLM_output
PRS live off,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab', 'lga': 'Package'}",lga,/mode/set?mode=RUN
BARCODE live on,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/NO_FUNCTION
Lot data,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/windows/teaching/lga
SIZE,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,"json
/teaching/mapping/update?propertyName=ScratchSize&value=N-N
"
Light,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/windows/light
창 닫아줘,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/closeWindows
대화 초기화,{'Detail Inspection Result': 'NoTab'},,"json
/chat/clear
"
네,{'Detail Inspection Result': 'NoTab'},,/NO_FUNCTION
기능 알려줘,{'Detail Inspection Result': 'NoTab'},,"제공된 정보를 바탕으로 현재 Gvision 시스템에서 사용 가능한 주요 기능들을 요약해 드리겠습니다:

### 기본 창 관리 및 설정
- **`/windows/teaching/lga`**: LGA 티칭 창 열기
- **`/windows/teaching/qfn`**: QFN 티칭 창 열기
- **`/windows/teaching/bga`**: BGA 티칭 창 열기
- **`/"
Run Mode not on,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=RUN
"
Do not Initiaze Run Mode,{'Detail Inspection Result': 'NoTab'},,"json
/teaching/bga/update?propertyName=PackageThreshold&value=N-N
"
dsmmi,{'Detail Inspection Result': 'NoTab'},,/teaching/bga/update?propertyName=inspectTeaching&value=1
현재 디바이스 크기,{'Detail Inspection Result': 'NoTab'},,"json
/windows/teaching/bga/update?propertyName=DeviceSize&value={""Width"":N,""Height"":N,""Depth"":N}
```

**참고:**

* `N`은 실제 디바이스의 너비, 높이, 깊이 값으로 대체해야 합니다. 
* 정확한 값을 얻으려면 디바이스의 측정 도구를 사용하십시오."
종료,{'Detail Inspection Result': 'NoTab'},,"json
/closeWindows
"
디바이스 크기,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=DeviceSize&value=GvisionCurrentInfo
"
스마트 얼라인,{'Detail Inspection Result': 'NoTab'},,"json
/teaching/bga/update?propertyName=inspectTab&value=stripAlignment
"
검사모드 알려줘,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=RUN
"
Settingx1 카메라 켜줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/light/live?camera=SettingX1
"
라이브 실행시켜줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/light/live?camera=PRS
"
바코드 라이브 실행 시켜줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/light/live?camera=BarCode
"
티칭창 열어줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/teaching/bga
"
[창 닫고] 티칭창 열어줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/teaching/lga
"
BGA 티칭창 열어,{'Detail Inspection Result': 'NoTab'},,"json
/windows/teaching/bga
"
레시피 저장해줘,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=RecipeSave&value=true
"
Auto Roi,{'Detail Inspection Result': 'NoTab'},,"json
/teaching/bga/update?propertyName=findAutoRoiTeaching&value=1
"
창 닫아줘,{'Detail Inspection Result': 'NoTab'},,"json
/closeWindows
"
네,{'Detail Inspection Result': 'NoTab'},,/NO_FUNCTION
티칭창 닫아줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/teaching/close
"
티칭창 열어줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/teaching/bga
"
티칭창 닫아줘,"{'Detail Inspection Result': 'NoTab', 'bga': 'Package'}",bga,/windows/teaching/bga
티칭창 닫아줘,"{'Detail Inspection Result': 'NoTab', 'bga': 'Package'}",bga,/windows/teaching/bga
티칭창 닫아줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/teaching/close
"
세팅창 열어줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/settings
"
런모드,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=RUN
"
런모드로 바꿔줘,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=RUN
"
검사 시작하자,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=RUN
"
change recipe,{'Detail Inspection Result': 'NoTab'},,"json
/test/run/prs
"
yes,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=GvisionCurrentInfo&value={""Detail Inspection Result"": ""NoTab""}
"
calibration,"{'Detail Inspection Result': 'NoTab', 'settings': 'Recipe'}",settings,"json
/calibration
"
calibration,{'Detail Inspection Result': 'NoTab'},,"json
/calibration/update?propertyName=select&value=MULTIOBJECT
"
change pad pitch,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=PadPitch&value=N-N-N-N 
```

Replace `N-N-N-N` with the desired pad pitch values in millimeters (e.g., `1.6-0.8-0.4-0.2`)."
calibration,{'Detail Inspection Result': 'NoTab'},,"json
/calibration/update?propertyName=select&value=MULTIOBJECT
"
exit calibration,"{'Detail Inspection Result': 'NoTab', 'calibration': 'NoTab'}",calibration,/calibration/update?propertyName=tab&value=status
exit calibration,{'Detail Inspection Result': 'NoTab'},,"json
/calibration/exit
"
lga,{'Detail Inspection Result': 'NoTab'},,"json
/windows/teaching/lga
"
monitor,{'Detail Inspection Result': 'NoTab'},,"json
/monitor/status
"
프로그램 종료,{'Detail Inspection Result': 'NoTab'},,"json
/NO_FUNCTION
"
setup mode,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=SETUP
"
recipe list,{'Detail Inspection Result': 'NoTab'},,/test/run/prs
yes,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=GvisionCurrentInfo&value={""Detail Inspection Result"": ""NoTab""}
"
insection mode change,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=INSECION
"
image save,{'Detail Inspection Result': 'NoTab'},,"json
/image/save?filename=inspection_result&data={""Detail Inspection Result"": ""NoTab""}
"
test packet,{'Detail Inspection Result': 'NoTab'},,"json
/test/run/prs
"
yes,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=GvisionCurrentInfo&value={""Detail Inspection Result"": ""NoTab""}
"
test packet,{'Detail Inspection Result': 'NoTab'},,"json
/test/run/prs
"
yes,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=GvisionCurrentInfo&value={""Detail Inspection Result"": ""NoTab""}
"
exit,{'Detail Inspection Result': 'NoTab'},,/NO_FUNCTION
chat 종료,{'Detail Inspection Result': 'NoTab'},,/chat/clear
yes,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=GvisionCurrentInfo&value={""Detail Inspection Result"": ""NoTab""}
"
shut down,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=SHUTDOWN
"
setup,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=UseBgaPackageSize&value=false
"
device info,{'Detail Inspection Result': 'NoTab'},,"json
/device/info
"
change recipe,{'Detail Inspection Result': 'NoTab'},,"json
/test/run/prs
"
yes,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=GvisionCurrentInfo&value={""Detail Inspection Result"": ""NoTab""}
"
lot info,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=GvisionCurrentInfo&value={""Detail Inspection Result"": ""NoTab""}
"
calibration,{'Detail Inspection Result': 'NoTab'},,"json
/calibration/update?propertyName=select&value=MULTIOBJECT
"
lot data,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=GvisionCurrentInfo&value={""Detail Inspection Result"": ""NoTab""}
"
Setting,{},,"json
/settings/update?propertyName=GvisionCurrentInfo&value={}
"
live,{'Detail Inspection Result': 'NoTab'},,"json
/windows/light/live?camera=PRS
"
prs teaching,{'Detail Inspection Result': 'NoTab'},,"json
/teaching/prs/reteach
"
prs teaching,{'Detail Inspection Result': 'NoTab'},,"json
/teaching/prs/reteach
"
프로그램 종료,{'Detail Inspection Result': 'NoTab'},,"json
/NO_FUNCTION
"
있는 기능이 뭐야,{'Detail Inspection Result': 'NoTab'},,"제공된 정보만으로는 현재 기능 목록을 정확히 파악하기 어렵습니다. 하지만 일반적으로 반도체 공정 비전 검사 시스템에서 기대되는 기능들을 기반으로 추정해 볼 수 있습니다:

1. **LGA (Land Grid Array) 티칭 창**:
   - `/windows/teaching/lga`: LGA 티칭 창 열기 및 설정 변경
   - 예시: `/windows/teaching/lga/update?propertyName=PackageThreshold"
rnu mode,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=RUNNING
"
a/s,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=GvisionCurrentInfo&value={'Detail Inspection Result': 'NoTab'}
"
history window,{'Detail Inspection Result': 'NoTab'},,"json
/history/update?propertyName=date&value=YYYY-MM-DD_YYYY-MM-DD
```

Replace `YYYY-MM-DD` with the specific dates you want to retrieve from the history window. For example, to get records for September 2023:

```json
/history/update?propertyName=date&value=2023-09-01_2023"
hi,{'Detail Inspection Result': 'NoTab'},,/windows/teaching/lga
hello:),{'Detail Inspection Result': 'NoTab'},,/windows/teaching/lga
mode,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=RUN
"
mode,{},,"json
/mode/set?mode=RUN
"
open Lot data,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/windows/teaching/lga
chg mode,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/mode/set?mode=CHANGE
close chat,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/closeWindows
close chat -y,{'Detail Inspection Result': 'NoTab'},,"json
/closeWindows
"
QFN,{'Detail Inspection Result': 'NoTab'},,"json
/teaching/qfn/update?propertyName=PackageThreshold&value=N-N
"
not run mode,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=RUN
"
레시피 변경,{'Detail Inspection Result': 'NoTab'},,"json
/test/run/prs
"
yes,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=GvisionCurrentInfo&value={""Detail Inspection Result"": ""NoTab""}
"
현재 레시피 삭제,{'Detail Inspection Result': 'NoTab'},,"json
/settings/update?propertyName=CurrentRecipeDelete&value=true
"
PRS 조명 켜,{'Detail Inspection Result': 'NoTab'},,"json
/windows/light/live?camera=PRS
"
이미지 저장 경로 알려줘,{'Detail Inspection Result': 'NoTab'},,"제공된 정보만으로는 이미지 저장 경로를 정확히 지정할 수 없습니다. 이미지 저장 경로는 시스템 설정, 프로젝트 디렉토리 구조, 또는 특정 API 호출에 따라 달라질 수 있습니다. 다음과 같은 정보가 더 필요합니다:

1. **프로젝트 디렉토리 구조**: 현재 프로젝트의 구조나 특정 디렉토리 경로가 있는지 확인해 주세요.
2. **API 호출**: 이미지 저장을 위한 특정 API 호출이 있는지 확인해 주세요."
모든 창 열어줘,{},,"json
/windows/teaching/lga
/windows/teaching/qfn
/windows/teaching/mapping
/windows/teaching/strip
/windows/history
/windows/light/live?camera=PRS
/windows/light/live?camera=BarCode
/windows/light/live?camera=SettingX1
/windows/light/live?camera=SettingX"
lga,{},,"json
/windows/teaching/lga
"
package threshold 2-33,{'lga': 'Package'},lga,/teaching/lga/update?propertyName=PackageThreshold&value=2-33
lot data,{},,"It seems like you're looking for assistance with specific commands or actions related to a system that involves Gvision (likely referring to Google Vision API or a similar image analysis tool) and possibly some settings or data manipulation tasks. However, your request isn't clear regarding the exact nature of the ""lot data"" or what specific action you want to perform. Here are some general examples based on common tasks related to Gvision and settings management:

### Example Commands Based on Common Tasks:"
lot data 창 켜줘,{},,"json
/windows/teaching/lga
"
lga 창 켜줘,{},,"json
/windows/lga
"
lga,{},,"json
/windows/teaching/lga
"
lga 꺼줘,{'lga': 'Package'},lga,/mode/set?mode=STOP
창 꺼,{'lga': 'Package'},lga,/closeWindows
lga package threshold 2-44,{},,"json
/teaching/lga/update?propertyName=PackageThreshold&value=2-44
"
PRS live on,{},,"json
/windows/light/live?camera=PRS
"
PRS live off,{'light': 'NoTab'},light,/live/toggle?switch=OFF&no=PRS
recipe list,{'light': 'NoTab'},light,/test/run/prs
yes,{'light': 'NoTab'},light,/windows/teaching/lga
recipe list,{},,/test/run/prs
no,{},,/NO_FUNCTION
Lot data,{},,"It seems like you're looking for specific API commands related to Lot data management or updates within a system that utilizes Gvision for inspection purposes. However, your request isn't directly tied to any of the predefined categories like BGA, QFN, LGA 티칭 창, calibration, etc., but rather seems to be more about managing or updating settings or data related to ""Lot data.""

Given the context and the structure you've provided, here are some potential API calls that"
/windows/lot,{},,/NO_FUNCTION
/windows/lot   이거 그대로 반환,{},,"json
/windows/lot
"
Lot data,{},,"json
/windows/lot/data
"
lot data 창 열기,{},,"json
/windows/lot
"
PRS live on,{},,"json
/windows/light/live?camera=PRS
"
SIZE,{},,"json
/settings/update?propertyName=SIZE&value=N-N-N-N
```

Replace `N-N-N-N` with the desired size values (e.g., `100-200-300-400`)."
대화 초기화,{},,"json
/chat/clear
"
YES,{},,"json
/windows/teaching/bga
"
응,{},,/settings/update?propertyName=UseBgaPackageSize&value=false
네,{},,/NO_FUNCTION
LGA,{},,"json
/windows/teaching/lga
"
YES,{'lga': 'Package'},lga,"json
/teaching/lga/update?propertyName=PackageThreshold&value=N-N
"
CHAT CLEAR,{'lga': 'Package'},lga,/chat/clear
/openWindow/yes 이거만 반환,{'lga': 'Package'},lga,"json
/openWindow/yes
"
Run Mode not on,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/mode/set?mode=RUN
SET UP MODE ON,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/mode/set?mode=SETUP
모든 창 꺼줘,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/closeWindows
디바이스 크기,{'Detail Inspection Result': 'NoTab'},,"json
/windows/teaching/bga
"
Settingx1 카메라 켜줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/light/live?camera=SettingX1
"
1번 카메라 켜줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/light/live?camera=PRS
"
바코드 라이브 실행 시켜줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/light/live?camera=BarCode
"
모든 창 열어줘,{'Detail Inspection Result': 'NoTab'},,"json
/windows/teaching/lga
/windows/teaching/qfn
/windows/teaching/mapping
/windows/history
/windows/light/live?camera=PRS
/windows/light/live?camera=BarCode
/windows/light/live?camera=SettingX1
/windows/light/live?camera=SettingX2
/windows/light/live"
모델 전환 오류,{'Detail Inspection Result': 'NoTab'},,"제공된 정보만으로는 정확한 API 호출 주소를 결정하기 어렵습니다. 현재 상황에서 사용자의 요청이 명확하게 정의되지 않았기 때문입니다. 하지만, 주어진 정보와 관련된 몇 가지 가능한 시나리오와 그에 따른 API 호출 예시를 제시해 드릴 수 있습니다:

1. **현재 상태 확인 및 오류 해결 요청**:
   - 만약 사용자가 현재 상태를 확인하거나 오류 해결을 요청하고 있다면, 현재 상태 정보"
런모드 켜줘,{'Detail Inspection Result': 'NoTab'},,"json
/mode/set?mode=RUN
"
런모드 켜줘,{},,"json
/mode/set?mode=RUN
"
PRS live on,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/windows/teaching/lga
LGA 티칭 창 열어줘,{},,"json
/windows/teaching/lga
"
Open the QFN teaching window,{},,"json
/windows/teaching/qfn
"
lga,{},,"json
/windows/teaching/lga
"
BGA 티칭 창 열기,{},,"json
/windows/teaching/bga
"
Open mapping teaching window,{},,"json
/windows/teaching/mapping
"
Strip 티칭창 열어줘,{},,"json
/windows/teaching/strip
"
검사 기록 창 열어줘,{},,"json
/history/update?propertyName=date&value=YYYY-MM-DD_YYYY-MM-DD
```

**참고:** YYYY-MM-DD 대신 실제 검사 날짜를 입력해야 합니다. 예를 들어, 이번 달 기록을 보고 싶다면 `/history/update?propertyName=date&value=2023-10-01_2023-10-31` 와 같이 입력합니다."
검사 기록 창 열어줘,{'history': 'NoTab'},history,/windows/history
보정(캘리브레이션) 창 열어줘,{},,"json
/calibration/update?propertyName=tab&value=status
"
Light setting window open,{},,"json
/windows/light/live?camera=PRS
"
Settings window open,{'light': 'NoTab'},light,/windows/teaching/settings
lga,{},,"json
/windows/teaching/lga
"
PRS 결과 기반 재티칭 창 열어줘,{'light': 'NoTab'},light,/windows/teaching/prs
PRS 결과 기반 재티칭 창 열어줘,{},,"json
/windows/teaching/prs/reteach
"
LGA 티칭 창 열어줘,{},,"json
/windows/teaching/lga
"
레시피 저장해줘,{},,"json
/settings/update?propertyName=RecipeSave&value=true
"
PRS 결과 기반 재티칭 창 열어줘,{},,"json
/windows/teaching/prs/reteach
"
lga auto roi,{},,"json
/teaching/lga/update?propertyName=findAutoRoiCommand&value=1
"
auto roi,{'lga': 'Package'},lga,/teaching/lga/update?propertyName=findPackageRoiAutoCommand&value=1
history,{},,"json
/history/update?propertyName=date&value=2023-10-05_2023-10-10
"
창 닫아줘,{'history': 'NoTab'},history,/closeWindows
change recipe,{},,"json
/test/run/prs
"
PRS 결과 기반 재티칭 창 열어줘,{},,"json
/windows/teaching/prs/reteach
"
yes,{},,"json
/windows/teaching/bga
"
calibration,{},,"json
/calibration/update?propertyName=threshold&value=100-200
"
device info,{},,"json
/device/info
"
3번 카메라 켜줘,{},,"json
/windows/light/live?camera=PRS
"
카메라 1번 라이브 켜기,{'light': 'NoTab'},light,/live/toggle?switch=ON&no=1
go,{'light': 'NoTab'},light,/windows/teaching/lga
lga,{},,
bga,{},,
안녕 하나은행 가는 법 알려줘,{},,
lga,{},,"It looks like you've provided a placeholder or a template that might be used for displaying information related to LG AI Research, specifically something labeled ""[Gvision Current Info]"". However, the content within the brackets is empty (`{}`), indicating there's no specific data or update currently available under that label.

If you're looking for information about LG AI Research, Gvision (which might refer to a specific project or technology within LG AI Research focused on vision-related AI"
lga 창 켜줘,{},,/windows/teaching/lga
lga 창 켜줘,{},,
PRS 결과 기반 재티칭 창 열어줘,{},,"json
/windows/teaching/prs/reteach
"
재티칭 창 열어줘,{},,"json
/teaching/bga/update?propertyName=reteach&value=1
"
Open mapping shot reteaching window,{},,"json
/teaching/mapping/reteach?propertyName=MappingShot&value=1
"
검사 모드로 바꿔줘,{},,"json
/mode/set?mode=RUN
"
Switch to setup mode,{},,"json
/mode/set?mode=SETUP
"
Switch to setup mode,{},,"json
/mode/set?mode=SETUP
"
